Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Define and Implement PlayerState Class","Create the PlayerState.cs file with all required fields like player_id, player_name, cash, etc., using appropriate C# types. Ensure properties for lists (e.g., properties_owned) are properly initialized.","Task","Backlog","Critical","lead@project.com","pm@project.com","",3,"data-model,core-engine","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","WI-111","",2024-09-01 09:00,2024-09-01 09:00,"C#,Data Modeling"
"Define and Implement State Enums","Create separate enum files for `AiDifficulty` (Easy, Medium, Hard) and `PlayerStatus` (e.g., Active, InJail, Bankrupt) to be used within the PlayerState model.","Task","Backlog","Critical","lead@project.com","pm@project.com","",2,"data-model,core-engine","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","WI-111","TASK-01-111-01",2024-09-01 09:00,2024-09-01 09:00,"C#"
"Write Unit Tests for PlayerState Model","Create NUnit tests to verify the initialization and default values of the PlayerState object. This ensures the model behaves as expected upon creation.","Task","Backlog","Critical","qa@project.com","pm@project.com","",4,"unit-test,data-model","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","Requires NUnit and Unity Test Framework setup from WI-621.","WI-111","TASK-01-111-01,TASK-06-621-01",2024-09-01 09:00,2024-09-01 09:00,"C#,NUnit"
"Review and Finalize PlayerState Schema","Conduct a peer code review of the PlayerState class and its associated enums to ensure they fully meet requirements and adhere to coding standards before being integrated into other systems.","Task","Backlog","Critical","lead@project.com","pm@project.com","",1,"code-review,quality-gate","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","WI-111","TASK-01-111-01,TASK-01-111-02,TASK-01-111-03",2024-09-01 09:00,2024-09-01 09:00,"C#,Code Review"
"Define and Implement GameState Class","Create the GameState.cs file. Add properties for the list of PlayerState objects and placeholder classes for BoardState, BankState, and DeckStates. Include metadata fields like `currentTurnNumber` and `activePlayerIndex`.","Task","Backlog","Critical","lead@project.com","pm@project.com","",4,"data-model,core-engine,architecture","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","This is a core data structure that many systems will depend on.","WI-112","TASK-01-111-04",2024-09-01 09:00,2024-09-01 09:00,"C#,Data Modeling,Software Architecture"
"Write Unit Tests for GameState Initialization","Create NUnit tests for the GameState class to verify that it can be initialized correctly with a given number of players and that all its sub-state objects are created and not null.","Task","Backlog","Critical","qa@project.com","pm@project.com","",3.2,"unit-test,data-model","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","WI-112","TASK-01-112-01",2024-09-01 09:00,2024-09-01 09:00,"C#,NUnit"
"Review and Finalize GameState Schema","Conduct a peer code review of the GameState aggregate root to ensure its design is robust, serializable, and meets all requirements before other systems begin to depend on it heavily.","Task","Backlog","Critical","lead@project.com","pm@project.com","",1,"code-review,quality-gate,architecture","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","WI-112","TASK-01-112-01,TASK-01-112-02",2024-09-01 09:00,2024-09-01 09:00,"C#,Code Review,Software Architecture"
"Implement Secure RNG Dice Roll Service","Create a `DiceService` that uses `System.Security.Cryptography.RandomNumberGenerator` to generate two fair, random numbers between 1 and 6. The service's roll method should return a simple data object with the results.","Task","Backlog","Critical","lead@project.com","pm@project.com","",6,"core-logic,rng,services","Sprint 2","Core Engine & Game State","Monopoly Tycoon","","Using cryptographic RNG is non-standard for games and requires careful implementation to ensure fairness and performance.","WI-121","",2024-09-01 09:00,2024-09-01 09:00,"C#,Cryptography"
"Integrate Doubles Logic into TurnManager","Modify the `TurnManager` to track consecutive doubles. After a move is completed, if the roll was doubles, re-enter the 'Pre-Roll Management Phase' for the same player. If it was the third double, transition to a 'GoToJail' state instead of a 'Movement' state. Reset the counter when the turn passes to the next player.","Task","Backlog","Critical","lead@project.com","pm@project.com","",5.2,"core-logic,game-flow,state-machine","Sprint 2","Core Engine & Game State","Monopoly Tycoon","","Modifying the core game state machine requires careful handling of transitions and edge cases.","WI-121","TASK-01-121-01,TASK-03-311-01",2024-09-01 09:00,2024-09-01 09:00,"C#,State Management"
"Write Unit Tests for Dice and Doubles Logic","Create NUnit tests for the `DiceService` to verify number distribution over many rolls (statistical test). Test the `TurnManager`'s doubles-tracking logic by mocking the `DiceService` to return specific sequences of doubles and non-doubles.","Task","Backlog","Critical","qa@project.com","pm@project.com","",3.2,"unit-test,core-logic","Sprint 2","Core Engine & Game State","Monopoly Tycoon","","","WI-121","TASK-01-121-01,TASK-01-121-02",2024-09-01 09:00,2024-09-01 09:00,"C#,NUnit"
