Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Implement Global Exception Handler Service","Implement a C# class that subscribes to application-level unhandled exception events (`AppDomain.CurrentDomain.UnhandledException`, `TaskScheduler.UnobservedTaskException`). This handler will be responsible for catching exceptions that would otherwise crash the application.","Task","Backlog","High","backend-dev@project.com","pm@project.com","",8.67,"error-handling,core-system,stability","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","GlobalExceptionHandler.cs","Depends on the LoggingService to log the caught exception.","US-005","TASK-101-002-02","2024-01-01 09:00","2024-01-01 09:00","C#,.NET,Unity"
"Create Failsafe Modal Error Dialog Prefab","Using Unity UI, create a prefab for the modal error dialog. It must be on its own canvas with a high sort order to ensure it renders above a potentially frozen or corrupted game UI. The prefab will include text elements for the message, error ID, and log path, plus a 'Close' button.","Task","Backlog","High","ui-dev@project.com","pm@project.com","",6.17,"ui,error-handling","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","ErrorDialog.prefab","","US-005","","2024-01-01 09:00","2024-01-01 09:00","Unity UI"
"Develop ErrorDialogController and Integration","Create the C# script `ErrorDialogController.cs` to manage the error dialog. It will have a public method to show the dialog and populate it with data (message, ID, path). This controller will be called by the Global Exception Handler. The 'Close' button will terminate the application.","Task","Backlog","High","ui-dev@project.com","pm@project.com","",8.33,"ui,error-handling,integration","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","ErrorDialogController.cs","Requires both the handler logic and the UI prefab to be complete.","US-005","TASK-102-001-01,TASK-102-002-01","2024-01-01 09:00","2024-01-01 09:00","C#,Unity UI"
"Unit Test Error Handling Utilities","Write NUnit tests for any non-Unity-dependent logic in the error handling workflow. This includes the generation of the unique error ID and any text formatting helpers.","Task","Backlog","Medium","qa-dev@project.com","pm@project.com","",4.17,"unit-test,error-handling","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","ErrorHandlingTests.cs","Depends on the utility logic being implemented.","US-005","TASK-102-001-01","2024-01-01 09:00","2024-01-01 09:00","C#,NUnit"
"Initialize Unity Project & Git Repository","Create a new Unity 2022.3 LTS project configured for Windows Standalone build target. Initialize a Git repository in the project root. Create and commit a standard `.gitignore` file for Unity projects.","Task","Backlog","Critical","devops@project.com","pm@project.com","",2.17,"setup,unity,git","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","","This is the first task for the entire project.","","","2024-01-01 09:00","2024-01-01 09:00","Unity,Git"
"Integrate Serilog and Configure Sinks","Add the Serilog, Serilog.Sinks.File, and Serilog.Formatting.Compact NuGet packages to the C# project within Unity. Create an initial Serilog configuration that writes to a compact JSON file.","Task","Backlog","Critical","backend-dev@project.com","pm@project.com","",4.17,"logging,serilog,setup","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","","Requires the C# project to be set up.","TASK-101-001-01","","2024-01-01 09:00","2024-01-01 09:00","C#,Unity,Serilog"
"Develop Central LoggingService","Create a `LoggingService.cs` class to encapsulate Serilog configuration (JSON format, rolling file policy, PII sanitization) and expose a global `ILogger` instance.","Task","Backlog","Critical","backend-dev@project.com","pm@project.com","",8.33,"logging,serilog,core-system","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","LoggingService.cs","Builds upon the initial Serilog integration.","TASK-101-002-01","","2024-01-01 09:00","2024-01-01 09:00","C#,Serilog,File I/O"
"Unit Test LoggingService Configuration","Write NUnit tests to verify the logic within the LoggingService, using mocks to verify that the Serilog `LoggerConfiguration` methods are called with the expected values.","Task","Backlog","Medium","qa-dev@project.com","pm@project.com","",5.17,"unit-test,logging","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","LoggingServiceTests.cs","Depends on the LoggingService implementation.","TASK-101-002-02","","2024-01-01 09:00","2024-01-01 09:00","C#,NUnit,Moq"
"Implement Game Update Checker Service","Develop a service that asynchronously checks a remote URL for a version JSON file on application startup. It should handle success, failure, and no-internet scenarios gracefully.","Task","Backlog","Medium","backend-dev@project.com","pm@project.com","",18,"core-system,networking","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","UpdateCheckService.cs","","US-067","","2024-01-01 09:00","2024-01-01 09:00","C#,.NET,HTTP"
"Create Update Notification UI","Design and implement the non-intrusive UI banner for the main menu that displays when an update is available and handles the click to open the download URL.","Task","Backlog","Medium","ui-dev@project.com","pm@project.com","",8,"ui,main-menu","Sprint 1: Foundation & Diagnostics","Project Foundation & Core Systems","Monopoly Tycoon","UpdateNotification.prefab","Depends on the Main Menu UI shell being in place.","US-067","US-008","2024-01-01 09:00","2024-01-01 09:00","Unity UI"
