task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
STORY-US-001,"Install the game on my Windows PC",DevOps,Quality Assurance,Medium,24,Mid,1,"EPIC-005",Yes,"Requires specialized knowledge of Inno Setup and its Pascal Scripting capabilities. This skill might be a bottleneck.",Use a simpler installer technology like NSIS or provide a basic ZIP archive if Inno Setup proves too time-consuming.
TASK-001,"Setup Inno Setup Project and Script Structure",DevOps,N/A,Low,4.2,Mid,1,"STORY-US-001",Yes,"Straightforward setup for a resource familiar with installer technologies. Can be done early with a placeholder executable.",N/A
TASK-002,"Implement Installer File Packaging and Shortcut Logic",DevOps,N/A,Low,6,Mid,1,"STORY-US-001,TASK-001",Yes,"Requires a stable game build output path from the CI/CD pipeline. Coordination with the Unity developer is needed.",N/A
TASK-003,"Implement Custom Directory and Disk Space Check Logic",DevOps,N/A,Low,6.3,Mid,1,"STORY-US-001,TASK-001",Yes,"The Pascal Scripting part requires specific expertise. Ensure the assigned resource has this skill to avoid delays.",If scripting is a bottleneck, remove the dynamic disk space check and just show the required space, relying on the OS to handle errors.
TASK-004,"Implement and Test Uninstaller Logic",DevOps,Quality Assurance,Medium,7.2,Mid,1,"STORY-US-001,TASK-002",Yes,"Requires careful scripting to handle conditional deletion of user data. Must be thoroughly tested on clean VMs.",Create two separate uninstaller options: one that keeps data and one that removes it, instead of a runtime prompt.
STORY-US-005,"Receive guidance on locating log files after an error",Backend Development,Frontend Development,High,32.5,Senior,2,"EPIC-005",Yes,"This is a foundational feature for application stability and supportability. Requires tight integration between backend logic and a robust UI component.",Initially, just log the error and crash. Defer the user-facing dialog to a later sprint if the UI implementation causes delays.
TASK-005,"Configure Serilog for Structured JSON Logging",Backend Development,DevOps,Low,6.2,Mid,1,"STORY-US-005",Yes,"Requires understanding of structured logging principles and Serilog configuration. A mid-level backend developer should be sufficient.",Use a simpler, less configurable logging framework initially if Serilog integration proves complex.
TASK-006,"Implement Global Exception Handler Service",Backend Development,N/A,Medium,8.2,Senior,1,"STORY-US-005,TASK-005",Yes,"Critical for application stability. Requires a senior developer with a deep understanding of the .NET/Unity application lifecycle and exception handling.",N/A
TASK-007,"Create Generic Error Dialog UI Prefab",Frontend Development,Design,Medium,8,Mid,1,"STORY-US-005",Yes,"Requires creation of a robust, reusable UI prefab that can be instantiated even if the rest of the game's UI is in a crashed state.",Use a native OS message box as a simpler, more robust alternative to a custom Unity UI dialog for the initial implementation.
TASK-008,"Integrate Error Dialog with Exception Handler",Backend Development,Frontend Development,Medium,10,Senior,1,"STORY-US-005,TASK-006,TASK-007",Yes,"This integration is critical and can be tricky. A senior developer should handle this to ensure the UI can be reliably triggered from a global error handler.",N/A
STORY-US-068,"View the game's data privacy statement",Frontend Development,Product Management,Low,10,Junior,1,"EPIC-005,US-008",No,"A simple content display task. Good for a junior developer. Blocked by final text content from the product/legal team.",Hardcode the text directly in the UI for the initial version if the external file loading system isn't ready.
TASK-017,"Create Privacy Policy UI Screen",Frontend Development,Design,Low,5.2,Junior,1,"STORY-US-068",No,"Requires standard Unity UI skills (ScrollRect, TextMeshPro).",N/A
TASK-018,"Integrate Privacy Policy into Main Menu",Frontend Development,N/A,Low,4.2,Junior,1,"STORY-US-068,TASK-104,TASK-017",No,"Simple UI wiring task. Depends on the main menu being complete.",N/A
STORY-US-008,"Start a new game from the main menu",Frontend Development,N/A,Low,8,Mid,1,"EPIC-003",Yes,"This is the primary entry point to the game. It is a blocker for all other gameplay-related UI and logic.",N/A
TASK-104,"Create Main Menu Scene and Controller",Frontend Development,Design,Medium,8,Mid,1,"STORY-US-008",Yes,"Foundational UI task. Blocker for many other UI features. Requires initial branding assets from the design team.",Use placeholder graphics and basic buttons to unblock other teams if final assets are delayed.
STORY-US-011,"Create a player profile with a custom name",Backend Development,Frontend Development,Medium,16,Mid,2,"EPIC-003,US-008",Yes,"Requires both frontend (UI input/validation) and backend (database persistence) work. Can be done by a fullstack dev or two specialists.",Use a simple text file for persistence initially, and migrate to SQLite later to de-couple from the database setup task.
TASK-107,"Add Profile Name Input to Game Setup Screen",Frontend Development,N/A,Medium,8,Mid,1,"STORY-US-011,TASK-105",Yes,"Requires implementation of real-time input validation, which can be moderately complex to make responsive and user-friendly.",Perform validation only on form submission instead of real-time to simplify the initial implementation.
TASK-108,"Implement Player Profile Persistence Service",Backend Development,Data Engineering,Medium,8,Mid,1,"STORY-US-011,TASK-137",Yes,"Requires knowledge of SQLite and repository patterns. This is a critical data persistence task.",Use an ORM like Entity Framework Core if raw ADO.NET/SQLite commands are too slow to implement.
STORY-US-009,"Configure a game with one to three AI opponents",Frontend Development,N/A,Low,8,Mid,1,"EPIC-003,US-008",Yes,"Core game setup feature. The UI must dynamically update based on the selection, which is a key part of the implementation.",N/A
TASK-105,"Design and Implement Game Setup Screen UI",Frontend Development,Design,Medium,8,Mid,1,"STORY-US-009,TASK-104",Yes,"A central UI screen that is a dependency for multiple configuration stories. Requires design input for layout.",Build a functional but unstyled ""whitebox"" version of the screen first to unblock logic development.
STORY-US-010,"Set a unique difficulty level for each AI opponent",Frontend Development,N/A,Medium,16,Mid,1,"EPIC-003,US-009",Yes,"The UI logic to dynamically show/hide and manage state for up to 3 separate AI configurations can be complex.",Use a single difficulty setting for all AIs as a V1, and add per-AI settings in a later iteration if the UI becomes too cluttered.
