Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"EPIC-005: Application Shell & Infrastructure","Encompasses the foundational elements of the application, including the installer, error handling, theming, and system-level utilities.","Epic","Backlog","Critical","","pm@project.com","",274.5,"infrastructure,devops,theming","","","Monopoly Tycoon","","","","","",""
"STORY-US-001: Install the game on my Windows PC","As a new player who has just acquired the game, I want to run a simple, guided installer on my Windows PC so that I can get the game set up correctly and quickly, allowing me to start my first playthrough without technical frustration.","User Story","Backlog","Must Have","","pm@project.com","",24,"installer,devops","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","","EPIC-005","","","","Inno Setup,Pascal Script"
"TASK-001: Setup Inno Setup Project and Script Structure","Create the initial Inno Setup script file (`MonopolyTycoon.iss`) for the project. Configure basic application metadata like AppName, AppVersion, Publisher, and default installation directories.","Task","Backlog","Must Have","devops@project.com","pm@project.com","",4.2,"installer,inno-setup","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","Requires a placeholder game executable to package.","STORY-US-001","","","","Inno Setup"
"TASK-002: Implement Installer File Packaging and Shortcut Logic","Configure the `[Files]` section of the Inno Setup script to correctly package the compiled Unity game build. Implement the `[Tasks]` and `[Icons]` sections to handle the creation of the desktop shortcut as per US-003.","Task","Backlog","Should Have","devops@project.com","pm@project.com","",6,"installer,inno-setup","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","Depends on the basic installer script structure and a stable game build.","STORY-US-001","TASK-001","","","Inno Setup"
"TASK-003: Implement Custom Directory and Disk Space Check Logic","Configure the installer wizard to include a directory selection page (US-002). Implement Pascal Scripting within Inno Setup to perform a disk space check against the selected drive and display an error if space is insufficient.","Task","Backlog","Should Have","devops@project.com","pm@project.com","",6.3,"installer,inno-setup","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","Depends on the basic installer script structure.","STORY-US-001","TASK-001","","","Inno Setup,Pascal Script"
"TASK-004: Implement and Test Uninstaller Logic","Configure the uninstaller section of the script to perform a clean removal of all application files, shortcuts, and registry keys. Implement the custom logic from US-006 and US-007 to check if the game is running and to prompt the user about deleting their personal data.","Task","Backlog","Must Have","devops@project.com","pm@project.com","",7.2,"uninstaller,inno-setup","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","Depends on a working installer to test the uninstaller.","STORY-US-001","TASK-002","","","Inno Setup,Pascal Script"
"STORY-US-005: Receive guidance on locating log files after an error","As a player who has encountered an unexpected game crash, I want to be shown a clear error message that includes a unique error ID and instructions on where to find the log files, so that I can easily provide developers with the necessary information to diagnose the bug.","User Story","Backlog","Must Have","","pm@project.com","",32.5,"error-handling,logging","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","","EPIC-005","","","","C#,Serilog,Unity"
"TASK-005: Configure Serilog for Structured JSON Logging","Integrate Serilog into the project. Configure sinks to write structured JSON logs to a rolling file in the `%APPDATA%/MonopolyTycoon/logs` directory. Implement the retention policy from REQ-1-021 (7 days/50 MB).","Task","Backlog","Must Have","backend-dev@project.com","pm@project.com","",6.2,"logging,serilog,infrastructure","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","Core project structure must be in place.","STORY-US-005","","","","C#,Serilog"
"TASK-006: Implement Global Exception Handler Service","Create a `GlobalExceptionHandler` service that registers with `AppDomain.CurrentDomain.UnhandledException`. This service will be responsible for catching all unhandled exceptions application-wide.","Task","Backlog","Must Have","backend-dev@project.com","pm@project.com","",8.2,"error-handling,infrastructure","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","Depends on the logging service to log the caught exception.","STORY-US-005","TASK-005","","","C#,.NET 8,Unity"
"TASK-007: Create Generic Error Dialog UI Prefab","Design and implement a reusable Unity UI Prefab for the modal error dialog. The prefab must have text fields for the main message, the unique Error ID, and the log file path, plus a 'Close' button.","Task","Backlog","Must Have","ui-dev@project.com","pm@project.com","",8,"ui,error-handling","Sprint 1","Application Shell & Infrastructure","Monopoly Tycoon","","Requires the core UI canvas setup.","STORY-US-005","","","","Unity UI,C#"
