story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,technical_tasks,definition_of_done
US-001,Application Shell & Infrastructure,"Install the game on my Windows PC","Windows PC User","As a Windows PC user, I want to run a simple, guided installer for Monopoly Tycoon so that I can get the game set up on my computer quickly and without errors.","Must Have",3,"","Given I have downloaded the installer, when I run it and accept all defaults, then the game installs to the default directory and a completion screen appears.","Given the target drive has less than 2 GB of free space, when I click 'Install', then the installer displays an 'insufficient disk space' error and halts the installation.","Given I am a standard user, when I run the installer, then a Windows User Account Control (UAC) prompt appears requesting administrative privileges to proceed.",WI-032,"Code (Inno Setup script) reviewed and approved. All acceptance criteria are met on target OS versions. Final installer is a single, self-contained .exe file. QA has confirmed the installed game launches and is playable."
US-002,Application Shell & Infrastructure,"Choose a custom installation directory","Windows PC User","As a Windows PC user, I want to be able to choose a custom installation directory so that I can manage my disk space and organize my installed applications according to my preferences.","Should Have",1,US-001,"Given the user is on the 'Choose Install Location' screen, when the user selects a valid directory on a different drive and proceeds, then the game files are installed into the chosen directory.","Given the user is on the 'Choose Install Location' screen, when the user selects a drive, then the UI accurately displays the required and available disk space for that drive.","Given the user selects a directory on a drive with insufficient space, when they attempt to proceed, then the installer displays an error and disables the 'Next' button.",WI-032,"Code (Inno Setup script) reviewed and approved. All acceptance criteria are met. The installer correctly handles default and custom paths. The uninstaller is aware of the custom path."
US-003,Application Shell & Infrastructure,"Create a desktop shortcut during installation","Windows PC User","As a new player, I want a checkbox option to create a desktop shortcut during installation so that I can easily launch the game from my desktop.","Should Have",1,US-001,"Given the user is on the 'Select Additional Tasks' screen, when the user leaves the 'Create a desktop shortcut' option checked by default and completes installation, then a shortcut is created on the desktop.","Given a desktop shortcut was created, when the user double-clicks it, then the Monopoly Tycoon game launches successfully.","Given the user is on the 'Select Additional Tasks' screen, when the user unchecks the shortcut option and completes installation, then no shortcut is created on the desktop.",WI-032,"Code (Inno Setup script) reviewed and approved. All acceptance criteria are met. The shortcut has the correct icon, name, and target path."
US-005,Application Shell & Infrastructure,"Receive guidance on locating log files after an error","Player","As a player who has encountered an unexpected game crash, I want to be shown a clear error message that includes a unique error ID and instructions on where to find the log files, so that I can easily provide developers with the necessary information to diagnose the bug.","Must Have",5,US-019;US-034,"Given an unhandled exception occurs, when the global exception handler catches it, then a modal error dialog is displayed to the user.","Given the error dialog is displayed, when the user views it, then it contains a non-technical message, a unique Error ID, and the full path to the log directory.","Given an unhandled exception is caught, when it is processed by the logging system, then an 'ERROR' level log entry is written to the log file containing the full exception details and the same Error ID shown to the user.",WI-034;WI-035,"Code reviewed and approved. All acceptance criteria are met. The handler catches exceptions from different parts of the application. The error dialog UI is clear and functional."
US-006,Application Shell & Infrastructure,"Uninstall the game cleanly from my computer","Windows PC User","As a Windows PC user, I want a standard and thorough uninstallation process so that I can completely remove all application files and reclaim my disk space.","Must Have",2,US-001;US-007,"Given the game is installed, when the user initiates the uninstallation from 'Apps & features' and confirms, then all application files, shortcuts, and Start Menu entries are deleted.","Given the Monopoly Tycoon game is currently running, when the user attempts to launch the uninstaller, then the uninstaller displays an error message stating the game must be closed.","Given the user is a standard (non-admin) user, when the uninstallation is initiated, then a UAC prompt appears requesting administrator credentials.",WI-033,"Code (Inno Setup script) reviewed and approved. All acceptance criteria are met. The uninstaller removes all application files and registry keys, leaving no artifacts."
US-007,Application Shell & Infrastructure,"Choose to keep my personal data upon uninstallation","Windows PC User","As a user uninstalling the game, I want to be given a clear choice to keep or delete my personal game data (save files, profile) so that I can reinstall later without losing my progress.","Should Have",2,US-001;US-061,"Given the user runs the uninstaller, when they select 'No' at the prompt asking to remove personal data, then the application files are removed but the '%APPDATA%/MonopolyTycoon' directory remains.","Given the user runs the uninstaller, when they select 'Yes' at the prompt asking to remove personal data, then the application files AND the '%APPDATA%/MonopolyTycoon' directory are deleted.","Given the game is installed but has never been run (no personal data exists), when the user runs the uninstaller, then it completes without presenting the prompt to remove personal data.",WI-033,"Code (Inno Setup script) reviewed and approved. All acceptance criteria are met. The conditional deletion logic is tested and verified."
US-008,User Interface & Experience (UI/UX),"Start a new game from the main menu","Player","As a player, I want to select a 'New Game' option from the main menu so that I can proceed to the game setup screen and configure a new match.","Must Have",1,"","Given the player is on the main menu screen, when the player clicks the 'New Game' button, then the application transitions to the Game Setup screen.","Given the player is on the main menu, when the player uses keyboard navigation to focus on the 'New Game' button and activates it, then the application transitions to the Game Setup screen.","Given the player is on the main menu, when the player clicks the 'New Game' button multiple times in quick succession, then the application transitions to the Game Setup screen only once.",WI-015,"Code reviewed and approved. All acceptance criteria are met. The transition between scenes is smooth and completes in under 1 second."
US-009,User Interface & Experience (UI/UX),"Configure a game with one to three AI opponents","Player","As a player setting up a new game, I want to select the number of AI opponents from a choice of one, two, or three, so that I can customize the game's challenge and duration.","Must Have",1,US-008,"Given I am on the game setup screen, when I select '3' as the number of AI opponents and start the game, then a new game session is created with a total of four players: one human and three AIs.","Given I am on the game setup screen, when I change the selected number of AI opponents from '1' to '3', then the UI dynamically updates to display configuration sections for three distinct AI opponents.","Given I am interacting with the UI for selecting opponents, when I view the available options, then the only selectable choices are '1', '2', and '3'.",WI-016,"Code reviewed and approved. All acceptance criteria are met. The UI correctly reflects the selection, and the game starts with the correct number of players."
US-010,User Interface & Experience (UI/UX),"Set a unique difficulty level for each AI opponent","Player","As a player setting up a new game, I want to independently assign a difficulty level (Easy, Medium, or Hard) to each of my AI opponents so that I can customize the game's challenge.","Must Have",3,US-009,"Given I have selected 3 AI opponents, when I set their difficulties to 'Easy', 'Hard', and 'Medium' respectively, then the UI clearly displays these selections for each AI.","Given I am on the game setup screen, when I add a new AI opponent, then its difficulty selector defaults to 'Medium'.","Given I have configured a game with specific difficulties, when I start the game, then the internal PlayerState objects for the AIs are initialized with the correct 'ai_difficulty' properties.",WI-016,"Code reviewed and approved. All acceptance criteria are met. Selected difficulties are correctly passed to the game state upon starting a new game."
US-011,User Interface & Experience (UI/UX),"Create a player profile with a custom name","Player","As a player, I want to create a personal profile by entering a custom name so that my game progress and statistics are saved under my unique identity.","Must Have",2,US-008,"Given the player is on the game setup screen, when the player enters a valid name (3-16 alphanumeric characters) and starts the game, then a new player profile is created and persisted with the entered name.","Given a player has successfully created a profile with the name 'CashMoney', when the game starts, then the human player's name is displayed as 'CashMoney' in the game HUD.","Given the player enters a name with leading/trailing spaces (e.g., '  RailroadMogul  '), when they proceed, then the system trims the whitespace and saves the name as 'RailroadMogul'.",WI-016,"Code reviewed and approved. All acceptance criteria are met. The profile is correctly saved to the SQLite database and used in-game."
