Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Technical Foundation & DevOps","Establish the project's technical backbone, including version control, CI/CD pipeline, installer, and logging framework to ensure a stable and maintainable development environment.",Epic,Backlog,Highest,pm@project.com,pm@project.com,"",182.98,"technical-foundation,devops","","Technical Foundation & DevOps","Monopoly Tycoon","","","","","","",
"Core Game Engine & Rules","Implement the fundamental game board, player states, turn management, and all official Hasbro rules to create an authentic and functional Monopoly experience.",Epic,Backlog,Highest,pm@project.com,pm@project.com,"",396.99,"core-engine,game-rules","","Core Game Engine & Rules","Monopoly Tycoon","","","","","","",
"Property & Economic System","Develop all systems related to property ownership, development, trading, auctions, and rent, forming the core economic engine of the game.",Epic,Backlog,Highest,pm@project.com,pm@project.com,"",396.14,"economics,property-management","","Property & Economic System","Monopoly Tycoon","","","","","","",
"User Interface & Player Experience","Design and implement all user-facing screens, HUDs, menus, and interactions to create a visually appealing, intuitive, and polished gameplay experience.",Epic,Backlog,Highest,pm@project.com,pm@project.com,"",361.64,"ui,ux","","User Interface & Player Experience","Monopoly Tycoon","","","","","","",
"Artificial Intelligence (AI) Opponents","Create compelling and challenging AI opponents with tunable difficulty levels, capable of making strategic decisions regarding property acquisition, development, and trading.",Epic,Backlog,High,pm@project.com,pm@project.com,"",107.82,"ai,opponents","","Artificial Intelligence (AI) Opponents","Monopoly Tycoon","","","","","","",
"Data Persistence & Management","Implement robust systems for saving and loading game progress, tracking persistent player statistics, and managing user data securely on the local machine.",Epic,Backlog,High,pm@project.com,pm@project.com,"",55.25,"data,persistence,save-load","","Data Persistence & Management","Monopoly Tycoon","","","","","","",
"Install the game on my Windows PC","As a Windows PC gamer, I want to run a simple, guided installer for Monopoly Tycoon, so that I can get the game set up on my computer quickly and without errors, and start playing right away.",Story,Backlog,Highest,"",pm@project.com,"",32.66,"Game Installation Experience,installer","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","EPIC-001","","","",
"Initial Inno Setup Script for Basic Installation","Create the initial .iss Inno Setup script. This script will define application metadata, package the game's executable and data files, create a Start Menu entry, and register a basic uninstaller.",Task,Backlog,Highest,devops@project.com,pm@project.com,"",8.33,"installer,devops,inno-setup","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-001","","","","Inno Setup"
"Implement Installer UI and User Choices","Enhance the Inno Setup script to include UI for EULA acceptance, custom installation directory selection (US-002), and a checkbox for creating a desktop shortcut (US-003). Implement logic for disk space checking.",Task,Backlog,Highest,devops@project.com,pm@project.com,"",6.17,"installer,devops,ui","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-001","TASK-EPIC1-WI5-1","","","Inno Setup"
"Implement Advanced Uninstaller Logic in Pascal Script","Using Pascal Script within Inno Setup, implement the custom uninstaller logic. This includes checking if the game is running, and presenting the user with a choice to keep or delete their personal data in '%APPDATA%' (US-006, US-007).",Task,Backlog,High,devops@project.com,pm@project.com,"",8.67,"installer,uninstaller,devops","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-001","TASK-EPIC1-WI5-1","","","Inno Setup,Pascal Script"
"Integrate Code Signing into Build Process","Configure the Inno Setup script to digitally sign the compiled installer and the uninstaller executable using a valid code signing certificate. This task includes setting up the build environment to securely access the certificate.",Task,Backlog,Medium,devops@project.com,pm@project.com,"",9,"installer,security,ci-cd","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","Requires purchased code signing certificate.","US-001","TASK-EPIC1-WI5-1","","","Inno Setup,CI/CD,Code Signing"
"Receive guidance on locating log files after an error","As a player who has encountered an unexpected game crash, I want to be shown a clear error message that includes a unique error ID and instructions on where to find the log files, so that I can easily provide developers with the necessary information to diagnose and fix the bug.",Story,Backlog,Highest,"",pm@project.com,"",32.33,"Error Handling and Diagnostics,logging","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","EPIC-001","","","",
"Integrate and Configure Serilog Framework","Add the Serilog NuGet packages to the project. Create a centralized `LoggingService` that initializes Serilog on application startup. Configure the logger with sinks for structured JSON output to a rolling file as per REQ-1-019.",Task,Backlog,Highest,backend-dev@project.com,pm@project.com,"",6.33,"logging,serilog,infrastructure","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-005","TASK-EPIC1-WI1-1","","","C#,Serilog,.NET 8"
"Implement Rolling File and Retention Policy","Configure the Serilog file sink to use a rolling file policy. The logs should be stored in `%APPDATA%/MonopolyTycoon/logs/`. The system must retain logs for a maximum of 7 days or a total size of 50 MB, whichever is reached first (REQ-1-021).",Task,Backlog,High,backend-dev@project.com,pm@project.com,"",4,"logging,serilog,configuration","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-005","TASK-EPIC1-WI2-1","","","C#,Serilog"
"Implement Global Exception Handler Hook","Implement a script that runs at application startup to register handlers for `AppDomain.CurrentDomain.UnhandledException` and `Application.logMessageReceived` (for Unity-specific errors). This script will be the entry point for the global error handling system.",Task,Backlog,Highest,backend-dev@project.com,pm@project.com,"",4.33,"error-handling,infrastructure","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-005","TASK-EPIC1-WI1-1","","","C#,Unity"
