task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
EPIC-001,"Technical Foundation & Project Setup",Backend Development,DevOps,High,298.6,Lead,4,"",Yes,"This epic requires a Lead Developer to oversee the architecture and a dedicated DevOps resource for the installer and initial setup. Core backend and UI developers will handle services and initial scenes.","Simplify architecture by combining layers; use a basic ZIP file for distribution instead of a full installer. This would increase technical debt and reduce user experience."
US-001,"Install the game on my Windows PC",DevOps,Quality Assurance,High,24,Mid,1,EPIC-001,Yes,"Requires a dedicated resource with experience in installer technologies like Inno Setup. Final tasks involve security and code signing, needing meticulous QA.","Distribute the game as a self-contained ZIP archive. This is faster to produce but offers a less professional user experience and no clean uninstallation."
TASK-002-001,"Scaffold Inno Setup Script and Add Basic Wizard Pages",DevOps,Backend Development,Medium,4.2,Mid,1,US-001,Yes,"Requires experience with Inno Setup scripting. A backend developer with scripting skills could also handle this.","Use a simpler, GUI-based installer creator, which may offer less customization for later features like conditional data deletion."
TASK-002-002,"Implement File Installation and Uninstaller Registration",DevOps,Backend Development,Medium,3.2,Mid,1,"TASK-002-001",Yes,"Core installer functionality. Requires understanding of Windows file system and registry for uninstaller registration.","Rely on a manual copy-paste installation with a simple .bat script for uninstallation. Highly unprofessional and error-prone."
TASK-002-003,"Implement Custom Installation Directory Page",DevOps,Backend Development,Medium,4,Mid,1,"TASK-002-001",No,"Involves scripting within Inno Setup to handle UI and disk space validation. Standard feature but requires specific knowledge.","Omit the custom directory option and force installation to the default Program Files directory. This is less user-friendly, especially for users with small SSDs."
TASK-002-004,"Implement Desktop Shortcut Creation Task",DevOps,Backend Development,Low,3,Junior,1,"TASK-002-001",No,"Standard Inno Setup task configuration. A junior resource can handle this with documentation.","Do not offer a desktop shortcut option, requiring users to manually create one or find the game in the Start Menu."
TASK-002-005,"Configure UAC and Code Signing for Installer",DevOps,Backend Development,High,6.7,Senior,1,"TASK-002-001",No,"Security-sensitive task requiring experience with Windows UAC and code signing certificate integration. High impact on user trust.","Skip code signing, which will result in severe security warnings from Windows Defender, creating a poor user experience and reducing trust."
US-006,"Uninstall the game cleanly from my computer",DevOps,Quality Assurance,Medium,8.4,Mid,1,"US-001,US-007",No,"Requires scripting to handle conditional logic for user data deletion, plus thorough QA to ensure no orphaned files are left.","Provide a simple uninstaller that only removes the game directory, with manual instructions for users to find and delete their AppData folder."
TASK-003-001,"Implement Custom Uninstaller Logic with Pascal Script",DevOps,Backend Development,Medium,5.2,Mid,1,"TASK-002-002",No,"Requires knowledge of Pascal Script, which is specific to Inno Setup. A backend developer can learn it, but it's a specialized skill.","Instead of a prompt, the uninstaller could always leave user data behind, which is a simpler but less complete solution."
TASK-003-002,"Implement Conditional Deletion of User Data",DevOps,Backend Development,Medium,3.2,Mid,1,"TASK-003-001",No,"Extension of the Pascal scripting. Involves file system I/O and process checking, which are standard but need careful implementation.","Remove the check for a running game instance, which could lead to uninstallation errors if the user tries to uninstall while playing."
TASK-001-001,"Initialize Git Repository and Define Branching Strategy",DevOps,Product Management,Low,2,Mid,1,"",Yes,"Foundational project setup. Requires experience with version control best practices. A DevOps or Lead Dev role is appropriate.","Use a simpler branching model like trunk-based development, which may be less suitable for a team with varying experience levels."
TASK-001-002,"Create VS 2022 Solution and Unity Project",Backend Development,Frontend Development,Low,3,Mid,1,"TASK-001-001",Yes,"Standard environment setup. A developer with experience in both .NET and Unity is ideal, typically a Lead or Senior.","Use separate solutions for core logic and Unity, which can complicate the build process and dependency management."
TASK-001-003,"Configure Assembly Definitions for Layered Architecture",Backend Development,Frontend Development,High,6.3,Senior,1,"TASK-001-002",Yes,"Critical architectural task requiring deep knowledge of Unity's assembly system and software design principles. A Lead or Senior dev is required.","Do not use assembly definitions, putting all code in the default assembly. This severely damages maintainability, testability, and compile times."
TASK-004-001,"Integrate and Configure Serilog",Backend Development,DevOps,Medium,4,Mid,1,"TASK-001-002",Yes,"Requires experience with .NET dependency management (NuGet) and the Serilog library. A mid-level backend developer is suitable.","Use Unity's built-in `Debug.Log()` which provides no structured logging, no log levels, and no persistent file output, making debugging difficult."
TASK-004-002,"Implement Structured JSON File Sink",Backend Development,DevOps,Low,3,Mid,1,"TASK-004-001",Yes,"Standard Serilog configuration. Can be done by the same resource who integrates the library.","Log to a plain text file instead of JSON. This makes logs harder to parse and query for diagnostics."
TASK-004-003,"Implement Log File Path Strategy",Backend Development,DevOps,Low,2,Mid,1,"TASK-004-001",Yes,"Involves using .NET APIs to resolve system paths. A straightforward task for a backend developer.","Hardcode the log path to a location like 'C:\Logs', which will fail on systems without that directory or with permission issues."
TASK-004-004,"Configure Rolling File and Retention Policy",Backend Development,DevOps,Medium,4,Mid,1,"TASK-004-001",No,"Requires understanding Serilog's sink configuration options. Important for preventing logs from consuming excessive disk space.","Do not implement a retention policy, allowing log files to accumulate indefinitely, which could fill up the user's hard drive over time."
US-005,"Receive guidance on locating log files after an error",Backend Development,Frontend Development,High,18.3,Senior,2,"EPIC-001",Yes,"Requires both a senior backend developer for the robust exception handler and a mid-level UI developer for the fail-safe dialog. High impact feature.","Simply crash to desktop. This provides the worst possible user experience and makes bug reporting nearly impossible."
TASK-005-001,"Implement Global Unhandled Exception Handler",Backend Development,DevOps,High,8.3,Senior,1,"TASK-004-001",Yes,"This is a high-risk task that requires a deep understanding of .NET and Unity process models. Must be a Senior or Lead developer.","Rely only on try-catch blocks in high-level code, which will miss many unhandled exceptions and still result in crashes."
TASK-005-002,"Design and Implement Modal Error Dialog UI",Frontend Development,Design,Medium,6,Mid,1,"TASK-005-001",Yes,"Requires a UI developer to create a robust prefab that is independent of other game UI systems. Needs careful implementation to be fail-safe.","Instead of a UI dialog, write the error details to a simple text file on the desktop. Less user-friendly but simpler to implement."
TASK-005-003,"Implement Error ID Correlation",Backend Development,DevOps,Medium,4,Mid,1,"TASK-005-001,TASK-004-001",Yes,"The logic is simple (generate GUID, pass to logger and UI), but the integration is critical for the feature's purpose.","Do not use a correlation ID, which would make it very difficult to match a user's error report to a specific log entry."
US-013,"View my persistent historical gameplay statistics",Backend Development,Frontend Development,Medium,14.6,Mid,2,"US-011,US-046,US-047",No,"Requires a backend developer for the database logic and a UI developer for the display screen. The two can work in parallel once the data contract is defined.","Store statistics in a simple JSON file. This is less robust, not easily queryable for features like high scores, and more prone to corruption."
