"Work Item ID","Title","Description","Type","Status","Priority","Assignee","Reporter","Due Date","Estimate","Labels","Sprint","Epic","Project","Attachments","Comments","Parent ID","Dependencies","Created At","Updated At","Skills Required"
"EPIC-001","Technical Foundation & Project Setup","Encompasses all foundational work required to establish the development environment, project structure, core technical services (logging, persistence, error handling), and the installer/uninstaller. This epic ensures the project is built on a stable, scalable, and maintainable architecture.","Epic","Backlog","Critical","pm@project.com","pm@project.com","",298.6,"architecture,setup","","","Monopoly Tycoon","","","","","","",
"US-001","Install the game on my Windows PC","As a new player, I want to run a simple, guided installer on my Windows PC so that I can get the game set up correctly and quickly, allowing me to start my first playthrough without technical frustration.","Story","Backlog","Critical","devops@project.com","pm@project.com","",24,"installer,devops","Sprint 7","Technical Foundation & Project Setup","Monopoly Tycoon","","This story will be finalized in a later sprint with code signing.","EPIC-001","","","",
"TASK-002-001","Scaffold Inno Setup Script and Add Basic Wizard Pages","Create the initial installer.iss script. Define application metadata (AppName, AppVersion, etc.). Implement standard wizard pages: Welcome, LicenseFile, and Finished. Integrate branding assets (wizard images, icons).","Task","Backlog","High","devops@project.com","pm@project.com","",4.2,"installer,inno-setup","Sprint 1","Technical Foundation & Project Setup","Monopoly Tycoon","","Requires a placeholder game executable to package.","US-001","","","","Inno Setup"
"TASK-002-002","Implement File Installation and Uninstaller Registration","Configure the [Files] section of the Inno Setup script to copy the built game executable and all associated data files to the selected installation directory. Configure the script to create an entry in Windows 'Apps & features' for uninstallation.","Task","Backlog","High","devops@project.com","pm@project.com","",3.2,"installer,inno-setup","Sprint 1","Technical Foundation & Project Setup","Monopoly Tycoon","","Depends on the basic script scaffold.","US-001","TASK-002-001","","","Inno Setup"
"TASK-002-003","Implement Custom Installation Directory Page","Add and configure the 'SelectDir' wizard page in the Inno Setup script. Implement logic to check for sufficient disk space on the selected drive and display an error if space is inadequate.","Task","Backlog","High","devops@project.com","pm@project.com","",4,"installer,inno-setup","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Depends on the basic script scaffold.","US-002","TASK-002-001","","","Inno Setup"
"TASK-002-004","Implement Desktop Shortcut Creation Task","Add a 'Select Additional Tasks' page to the installer wizard. Include a single task, 'Create a desktop shortcut', which is checked by default. Configure the [Icons] section to create the shortcut pointing to the game executable if the task is selected.","Task","Backlog","High","devops@project.com","pm@project.com","",3,"installer,inno-setup","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Depends on the basic script scaffold.","US-003","TASK-002-001","","","Inno Setup"
"TASK-002-005","Configure UAC and Code Signing for Installer","Set the `PrivilegesRequired` directive in the Inno Setup script to 'admin' to ensure it triggers a UAC prompt. Integrate the code signing certificate into the build process so the final setup.exe is digitally signed.","Task","Backlog","High","devops@project.com","pm@project.com","",6.7,"installer,security","Sprint 7","Technical Foundation & Project Setup","Monopoly Tycoon","","Requires a purchased code signing certificate.","US-001","TASK-002-001","","","Inno Setup,CI/CD"
"US-006","Uninstall the game cleanly from my computer","As a Windows PC user who no longer wishes to keep the game installed, I want a standard and thorough uninstallation process so that I can completely remove all application files and reclaim my disk space, ensuring my system remains clean.","Story","Backlog","Critical","devops@project.com","pm@project.com","",8.4,"uninstaller,devops","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-001,US-007","","",
"TASK-003-001","Implement Custom Uninstaller Logic with Pascal Script","Using Inno Setup's Pascal Scripting, add code to the uninstaller to check for the existence of the '%APPDATA%/MonopolyTycoon' directory. If it exists, display a message box asking the user if they want to delete this data.","Task","Backlog","High","devops@project.com","pm@project.com","",5.2,"installer,uninstaller","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Depends on the base uninstaller being registered.","US-007","TASK-002-002","","","Inno Setup,Pascal Script"
"TASK-003-002","Implement Conditional Deletion of User Data","In the uninstaller's Pascal Script, implement the logic that, based on the user's response from the prompt, either leaves the user data directory alone or recursively deletes it. Also, implement a check for a running instance of the game to prevent uninstallation.","Task","Backlog","High","devops@project.com","pm@project.com","",3.2,"installer,uninstaller","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Depends on the prompt being implemented.","US-007","TASK-003-001","","","Inno Setup,Pascal Script"
