Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Technical Foundation and Project Setup","Establish the core technical infrastructure, including error handling, logging, and build processes.","Epic","Backlog","Critical","","pm@project.com","",38,"infrastructure","Sprint 1","","Monopoly Tycoon","","","","","","",
"User Interface and Experience (UI/UX)","Develop all user-facing screens, HUDs, and visual elements for the game.","Epic","Backlog","Critical","","pm@project.com","",32.8,"ui,ux","Sprint 1","","Monopoly Tycoon","","","","","","",
"Data Persistence and Player Progression","Implement systems for saving/loading game state and tracking player statistics over time.","Epic","Backlog","Critical","","pm@project.com","",38.1,"persistence,database","Sprint 1","","Monopoly Tycoon","","","","","","",
"Core Gameplay and Rule Engine","Implement the core auction mechanics, including the state machine, UI, AI bidding logic, and testing.","Epic","Backlog","Critical","","pm@project.com","",73.8,"gameplay,rules","Sprint 2","","Monopoly Tycoon","","","","","","",
"Receive guidance on locating log files after an error","As a player who has encountered an unexpected game crash, I want to be shown a clear error message that includes a unique error ID and instructions on where to find the log files, so that I can easily provide developers with the necessary information to diagnose and fix the bug.","Story","Backlog","Critical","","pm@project.com","",38,"error-handling,supportability","Sprint 1","Technical Foundation and Project Setup","Monopoly Tycoon","","","EPIC-001","","","",
"TASK-005-01: Backend: Implement Global Exception Handler Service","Implement a service that registers with the .NET `AppDomain.CurrentDomain.UnhandledException` event. This handler will be responsible for catching any exception that is not caught elsewhere. It must generate a unique correlation ID (e.g., a GUID) for each exception.
AC:
1. The handler is registered at application startup.
2. The handler's event delegate is successfully invoked when an unhandled exception is thrown.
3. A unique, non-repeating ID is generated for each exception event.","Task","Backlog","Critical","","pm@project.com","",8.3,"infrastructure,error-handling,backend","Sprint 1","Technical Foundation and Project Setup","Monopoly Tycoon","","","US-005","","","","C#, .NET",
"TASK-005-02: Integration: Connect Exception Handler to Logging Service","Integrate the `GlobalExceptionHandler` with the `LoggingService`. When an exception is caught, the handler must call the logger to write a structured ERROR log entry containing the full exception object (message, stack trace) and the generated correlation ID.
AC:
1. The log entry is at the ERROR level and is structured JSON.
2. The entry contains a 'CorrelationId' field matching the one generated by the handler.
3. The log is flushed to disk before the application is allowed to terminate.","Task","Backlog","Critical","","pm@project.com","",6.3,"integration,logging","Sprint 1","Technical Foundation and Project Setup","Monopoly Tycoon","","","US-005","TASK-005-01,TASK-002-01","","","C#, Serilog",
"TASK-005-03: Frontend: Create Fatal Error Dialog UI","Create a new, simple Unity scene and UI prefab for the fatal error dialog. This UI must be self-contained and have minimal dependencies, ensuring it can be displayed even if the main game's UI system has failed. The dialog must have fields for the error message, correlation ID, and log path, plus a 'Close' button.
AC:
1. A `FatalErrorDialog.prefab` is created with a controller script.
2. The controller has a public method to populate the dialog's text fields.
3. The 'Close' button is hooked up to terminate the application.","Task","Backlog","Critical","","pm@project.com","",10.3,"ui,error-handling,frontend","Sprint 1","Technical Foundation and Project Setup","Monopoly Tycoon","","","US-005","","","","Unity UI, C#",
"TASK-005-04: Integration: Display Error Dialog from Exception Handler","Connect the `GlobalExceptionHandler` to the `FatalErrorDialog`. When an exception is caught, after logging, the handler must trigger the display of the error dialog, passing it the correlation ID and the resolved log file path. This may require careful handling of cross-thread UI updates.
AC:
1. Catching an exception successfully displays the fatal error dialog.
2. The dialog is populated with the correct correlation ID and log file path.
3. The application remains visible but frozen behind the modal dialog until closed.","Task","Backlog","Critical","","pm@project.com","",8.5,"integration,error-handling","Sprint 1","Technical Foundation and Project Setup","Monopoly Tycoon","","","US-005","TASK-005-01,TASK-005-03","","","C#, Unity",
"TASK-005-05: Review and Documentation","Review the entire global error handling pipeline. Document the flow from exception to log to user dialog in the project's technical documentation.
AC:
1. Code for all components is reviewed and approved.
2. A clear diagram and description of the error handling flow is added to the technical documentation.","Task","Backlog","Critical","","pm@project.com","",4.2,"documentation,code-review","Sprint 1","Technical Foundation and Project Setup","Monopoly Tycoon","","","US-005","TASK-005-01,TASK-005-02,TASK-005-03,TASK-005-04","","","Technical Writing",
"View at-a-glance information for all players in the HUD","As a player, I want a persistent on-screen display showing the name, token, and current cash for every player, so that I can instantly assess the financial standing of my opponents and myself to make better strategic decisions throughout the game.","Story","Backlog","Critical","","pm@project.com","",32.8,"ui,hud","Sprint 1","User Interface and Experience (UI/UX)","Monopoly Tycoon","","","EPIC-004","","","",
"TASK-049-01: Frontend: Create Player HUD Panel Prefab","Design and implement a reusable Unity UI prefab for a single player's HUD panel. It must contain UI elements for the player's name, token icon, and cash balance.
AC:
1. The prefab contains TextMeshPro fields for name and cash, and an Image field for the token.
2. A `PlayerHUDPanelController.cs` script is attached with public methods to update the displayed data.
3. The prefab includes a distinct visual element that can be enabled/disabled to indicate the active turn.","Task","Backlog","Critical","","pm@project.com","",6,"ui,hud,frontend","Sprint 1","User Interface and Experience (UI/UX)","Monopoly Tycoon","","","US-049","","","","Unity UI, C#",
"TASK-049-02: Backend: Implement HUDController for Data Binding","Create a `HUDController.cs` to manage the entire HUD. It will instantiate player panels and subscribe to game events (e.g., `OnTurnChanged`, `OnPlayerCashChanged`) to delegate UI updates to the appropriate panel.
AC:
1. The controller correctly creates 2, 3, or 4 panels based on the GameState.
2. The `OnTurnChanged` event correctly updates which panel is highlighted.
3. The `OnPlayerCashChanged` event updates the cash value for the correct player's panel.","Task","Backlog","Critical","","pm@project.com","",12,"ui,hud,backend","Sprint 1","User Interface and Experience (UI/UX)","Monopoly Tycoon","","","US-049","TASK-049-01","","","C#, Unity",
"TASK-049-03: Testing: Create Integration Test for HUD Updates","Using the Unity Test Framework, create an integration test that initializes a game state, programmatically triggers events like a turn change and a cash transaction, and verifies that the HUD controller correctly updates its child panel objects.
AC:
1. Test successfully instantiates the HUD in a test scene.
2. Test verifies that firing an `OnTurnChanged` event results in the correct panel's highlight being active.
3. Test verifies that firing an `OnPlayerCashChanged` event updates the correct panel's text.","Task","Backlog","Critical","","pm@project.com","",10.3,"testing,integration-test,ui","Sprint 1","User Interface and Experience (UI/UX)","Monopoly Tycoon","","","US-049","TASK-049-02","","","C#, Unity Test Framework",
"TASK-049-04: Review and Documentation","Review the implementation of the HUD system. Document the events the `HUDController` subscribes to and the public methods available on the `PlayerHUDPanelController`.
AC:
1. Code has been reviewed and approved.
2. Technical documentation for the HUD system is created and outlines its dependencies on the event bus.","Task","Backlog","Critical","","pm@project.com","",4.2,"documentation,code-review","Sprint 1","User Interface and Experience (UI/UX)","Monopoly Tycoon","","","US-049","TASK-049-01,TASK-049-02","","","Technical Writing",
