Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Initialize Git Repository and Configure .gitignore","Create the main Git repository on the version control server. Add a comprehensive .gitignore file tailored for Unity and Visual Studio projects to prevent temporary files, build artifacts, and user settings from being committed.",Infrastructure,Backlog,Critical,devops@project.com,pm@project.com,,2.0,"setup,git,vcs",Sprint 1,"Technical Foundation & Tooling",Monopoly Tycoon,"",,"US-027",,"2024-01-01 09:00","2024-01-01 09:00","Git,Unity"
"Create Visual Studio 2022 Solution Structure","Create the main Visual Studio solution (.sln) file. Configure it to include the Unity-generated C# project. Create a separate .NET 8 class library project named 'MonopolyTycoon.Core' intended for game logic decoupled from Unity.",Development,Backlog,Critical,backend-dev@project.com,pm@project.com,,4.5,"setup,visual-studio,architecture",Sprint 1,"Technical Foundation & Tooling",Monopoly Tycoon,"",,"US-027","TASK-S027-T01","2024-01-01 09:00","2024-01-01 09:00","Visual Studio,Unity,C#"
"Implement PlayerState Data Model","Create the `PlayerState.cs` class in the `MonopolyTycoon.Core` project. The class will contain all fields specified in REQ-1-031, such as `player_id`, `cash`, `properties_owned`, `status`, etc. Add appropriate `System.Text.Json` serialization attributes.",Development,Backlog,"Must Have",backend-dev@project.com,pm@project.com,,4.2,"data-model,architecture,csharp",Sprint 1,"Core Game Engine & Rule Implementation",Monopoly Tycoon,"",,"US-001","TASK-S027-T02","2024-01-01 09:00","2024-01-01 09:00","C#,.NET 8"
"Implement GameState Data Model","Create the `GameState.cs` class in the `MonopolyTycoon.Core` project. This class will act as the top-level container for the entire game session's state, including a list of `PlayerState` objects, the board state, bank state, and deck states, as per REQ-1-041.",Development,Backlog,"Must Have",backend-dev@project.com,pm@project.com,,4.3,"data-model,architecture,csharp",Sprint 1,"Core Game Engine & Rule Implementation",Monopoly Tycoon,"",,"US-001","TASK-S001-T01","2024-01-01 09:00","2024-01-01 09:00","C#,.NET 8"
"Integrate Serilog and Basic Configuration","Add the Serilog NuGet packages to the 'MonopolyTycoon.Core' project. Create a `LoggingService` class responsible for initializing the logger at application startup. Implement a basic configuration that writes plain text logs to the console for initial debugging.",Development,Backlog,"Must Have",backend-dev@project.com,pm@project.com,,3.8,"logging,serilog,setup",Sprint 1,"Technical Foundation & Tooling",Monopoly Tycoon,"",,"US-028","TASK-S027-T02","2024-01-01 09:00","2024-01-01 09:00","C#,Serilog,Unity"
"Configure JSON File Sink and Rolling Policy","Enhance the `LoggingService` to configure the Serilog file sink. The configuration must write logs in a structured JSON format to a file located in `%APPDATA%/MonopolyTycoon/logs`. Implement a rolling file policy with a 7-day retention limit and a 50 MB size limit, as per REQ-1-021.",Development,Backlog,"Must Have",backend-dev@project.com,pm@project.com,,6.3,"logging,serilog,configuration",Sprint 1,"Technical Foundation & Tooling",Monopoly Tycoon,"",,"US-028","TASK-S028-T01","2024-01-01 09:00","2024-01-01 09:00","C#,Serilog"
"Implement Global Unhandled Exception Handler","Implement a mechanism to catch unhandled exceptions at the application level. This should use `AppDomain.CurrentDomain.UnhandledException` for the .NET logic and `Application.logMessageReceivedThreaded` for Unity-specific exceptions.",Development,Backlog,"Must Have",backend-dev@project.com,pm@project.com,,6.2,"error-handling,stability",Sprint 1,"Technical Foundation & Tooling",Monopoly Tycoon,"",,"US-029",,"2024-01-01 09:00","2024-01-01 09:00","C#,.NET 8,Unity"
"Set Up NUnit Test Project","Create a new .NET 8 project in the Visual Studio solution named `MonopolyTycoon.Core.Tests`. Configure it with the NUnit test framework and a mocking library like Moq. Ensure it has a project reference to `MonopolyTycoon.Core`.",Testing,Backlog,"Must Have",qa-dev@project.com,pm@project.com,,4.0,"testing,nunit,setup",Sprint 1,"Technical Foundation & Tooling",Monopoly Tycoon,"",,"US-030","TASK-S027-T02","2024-01-01 09:00","2024-01-01 09:00","NUnit,Visual Studio,C#"
"Set Up Unity Test Framework Project","Configure the Unity Test Framework package in the Unity project. Create a new Assembly Definition (`.asmdef`) file specifically for integration tests, and set it up to reference the NUnit and Unity Test Framework libraries.",Testing,Backlog,"Must Have",qa-dev@project.com,pm@project.com,,4.5,"testing,unity,setup",Sprint 1,"Technical Foundation & Tooling",Monopoly Tycoon,"",,"US-031","TASK-S027-T02","2024-01-01 09:00","2024-01-01 09:00","Unity,Unity Test Framework"
"Unit Test GameState and PlayerState Serialization","In the `MonopolyTycoon.Core.Tests` project, create a new test class to verify the serialization and deserialization of the `GameState` and `PlayerState` models. The test will create a complex `GameState` object, serialize it to a JSON string, deserialize it back into an object, and assert that the new object is a deep-equal of the original.",Testing,Backlog,"Must Have",qa-dev@project.com,pm@project.com,,5.2,"testing,nunit,serialization",Sprint 1,"Core Game Engine & Rule Implementation",Monopoly Tycoon,"",,"US-001","TASK-S001-T02,TASK-S030-T01","2024-01-01 09:00","2024-01-01 09:00","NUnit,C#,System.Text.Json"
