Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"EPIC-001: Core Engine & Game State","Establish all foundational data models, the core rule engine, and the services required to manage a complete and valid game state. This epic is the technical backbone of the entire application.","Epic","Backlog","Critical","","pm@project.com","",150.8,"core-engine,architecture","","","Monopoly Tycoon","","","","","","",""
"US-001-RELATED: Establish Core Data Models (GameState, PlayerState, Board)","Technical story to create the foundational data structures for the entire game, ensuring they are robust, serializable, and decoupled from the presentation layer. This underpins the entire application.","Story","Backlog","Critical","backend-lead@project.com","pm@project.com","",39.7,"data-model,core-engine,backend","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","EPIC-001","","","","C#,Data Modeling,JSON"
"[Backend] Define and Implement PlayerState and supporting Enums","Create the `PlayerState.cs` class based on REQ-1-031. Define the required enums `PlayerStatus.cs` and `AIDifficulty.cs`. The class must be marked as serializable and contain all specified fields.","Task","Backlog","High","backend-dev@project.com","pm@project.com","",6,"data-model,core-engine","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","US-001-RELATED","","","","C#,Data Modeling"
"[Backend] Define and Implement Property and Board Data Models","Create C# classes for `PropertyData` and `Board`. The `PropertyData` class will hold all static information for a single property (price, rent, etc.). The `Board` class will manage the collection of 40 spaces. Create the `properties.json` file with data for all 28 properties.","Task","Backlog","High","backend-dev@project.com","pm@project.com","",8.3,"data-model,core-engine,data-driven","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","US-001-RELATED","","","","C#,JSON,Data Modeling"
"[Backend] Define and Implement GameState Data Model","Create the `GameState.cs` class as the aggregate root for all game state, based on REQ-1-041. It will contain lists of `PlayerState` objects and other state-tracking objects for the board, bank, and card decks.","Task","Backlog","High","backend-dev@project.com","pm@project.com","",6.2,"data-model,core-engine,save-load","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","US-001-RELATED","TASK-001-001-01,TASK-001-001-02","","","C#,Data Modeling"
"[Testing] Write Unit Tests for Data Model Serialization","Create NUnit tests to verify that the `GameState` and `PlayerState` objects can be successfully serialized to and deserialized from JSON using `System.Text.Json`. The test must confirm that a deserialized object is identical to the original.","Task","Backlog","High","qa-engineer@project.com","pm@project.com","",6.3,"unit-test,save-load,core-engine","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","US-001-RELATED","TASK-001-001-03","","","C#,NUnit,System.Text.Json"
"[Backend] Implement Game Factory Service","Create a `GameFactory.cs` service responsible for creating a new `GameState` object based on the configuration provided from the Game Setup screen (player count, AI difficulties, etc.). This service will initialize players with starting cash, shuffle decks, and set up the initial board state.","Task","Backlog","High","backend-dev@project.com","pm@project.com","",8.3,"core-engine,game-setup,factory-pattern","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","US-001-RELATED","TASK-001-001-03","","","C#,Object-Oriented Design"
"[Testing] Write Unit Tests for Game Factory Service","Create NUnit tests for the `GameFactory` to ensure it correctly initializes a new game according to various configurations (2, 3, and 4 players).","Task","Backlog","High","qa-engineer@project.com","pm@project.com","",5,"unit-test,core-engine","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","US-001-RELATED","TASK-001-001-05","","","C#,NUnit"
"US-001-RELATED: Develop Core Rule Engine","Technical story to implement the central `RuleEngine` service. This stateless service will contain the pure business logic for all game actions, ensuring it is highly testable and decoupled from Unity's presentation layer.","Story","Backlog","Critical","backend-lead@project.com","pm@project.com","",111.1,"rule-engine,architecture,backend","","Core Engine & Game State","Monopoly Tycoon","","","EPIC-001","US-001-RELATED","","","C#,Software Architecture,State Machines"
"[Backend] Design and Implement Rule Engine Skeleton","Create the initial `RuleEngine.cs` class and define the interfaces for its methods (e.g., `ValidateMove`, `ExecutePurchase`, `CalculateRent`). This task focuses on the architecture and creating a testable structure without implementing all the complex logic yet.","Task","Backlog","High","backend-lead@project.com","pm@project.com","",6.3,"architecture,core-engine,rule-engine","Sprint 1","Core Engine & Game State","Monopoly Tycoon","","","US-001-RELATED","TASK-001-001-03","","","C#,Software Architecture,NUnit"
