story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,technical_tasks,definition_of_done
US-001,Application Shell & Infrastructure,Install the game on my Windows PC,Windows PC Gamer,"As a Windows PC Gamer, I want to run a simple, guided installer for Monopoly Tycoon, so that I can get the game set up on my computer quickly and without errors.",Must Have,5,"","Given I have downloaded the installer on a supported Windows PC, when I run it and accept all default options, then the game is successfully installed to the default directory and is ready to play.","Given the installer is running, when the target drive has insufficient disk space, then an error message is displayed and the installation is halted.","Given I am a standard user without admin rights, when I run the installer, then a Windows UAC prompt must appear requesting elevation to proceed.",WI-034: Create Inno Setup Installer Script,"All ACs pass on Windows 10 & 11. Installer is a single, digitally signed .exe. A working uninstaller is created. All code (Inno Setup Script) is reviewed and merged."
US-002,Application Shell & Infrastructure,Choose a custom installation directory,Windows PC Gamer,"As a Windows PC Gamer, I want to be able to choose a custom installation directory during setup, so that I can manage my disk space and organize my applications according to my preferences.",Should Have,1,US-001,"Given I am on the 'Choose Install Location' screen in the installer, when I select a valid custom directory on another drive, then the game files are installed into that specific directory.","Given I am on the 'Choose Install Location' screen, when I view the UI, then the space required for the game and the space available on the selected drive are accurately displayed.","Given I select a drive with insufficient space, when I attempt to proceed with the installation, then an error message is displayed and the 'Next' button is disabled.",WI-034: Create Inno Setup Installer Script,"All ACs pass. The installer correctly uses the user-specified path. The disk space check is accurate and updates dynamically. Code is reviewed and merged."
US-003,Application Shell & Infrastructure,Create a desktop shortcut during installation,Windows PC Gamer,"As a Windows PC Gamer, I want a checkbox option to create a desktop shortcut during installation, so that I can easily launch the game from my desktop.",Should Have,1,US-001,"Given the installer is running, when I leave the 'Create a desktop shortcut' option checked (default) and complete the installation, then a shortcut named 'Monopoly Tycoon' with the correct icon appears on my desktop.","Given the desktop shortcut has been created, when I double-click it, then the Monopoly Tycoon game application launches successfully.","Given I am running the installer, when I uncheck the 'Create a desktop shortcut' option and complete the installation, then no shortcut is created on my desktop.",WI-034: Create Inno Setup Installer Script,"All ACs pass. The shortcut option is checked by default. The created shortcut has the correct icon and target path. Code is reviewed and merged."
US-004,Presentation Layer (UI/UX & 3D),Ensure UI adapts to different monitor aspect ratios,Player,"As a Player, I want the game's user interface to adapt to my monitor's aspect ratio (16:9, 16:10, 21:9), so that I can have a high-quality visual experience without distorted or overlapping elements.",Must Have,5,US-018;US-019;US-020,"Given the game is running on a standard 16:9 display, when I view any screen (menu, HUD, dialog), then all UI elements are correctly positioned and scaled with no distortion.","Given the game is running on an ultrawide 21:9 display, when I view the main game screen, then the HUD elements are correctly anchored to the corners and the game board remains centered and correctly proportioned.","Given the game is running in windowed mode, when I resize the window, then the UI elements dynamically adjust to the new dimensions without crashing or becoming unusable.",WI-018: Implement Game Setup Screen; WI-019: Implement In-Game HUD; WI-020: Implement Trading and Property Management UI; WI-021: Implement Settings Menu,"All ACs pass on 16:9, 16:10, and 21:9 aspect ratios. All UI screens and modals are tested. UI does not break on extreme aspect ratios (e.g., 4:3). Code is reviewed and merged."
US-005,Application Shell & Infrastructure,Receive guidance on locating log files after an error,Player,"As a Player, if the game encounters a critical error, I want to be shown a clear message with a unique ID and instructions on where to find the log files, so that I can provide developers with the necessary information to fix the bug.",Should Have,3,US-031,"Given an unhandled exception occurs during gameplay, when the global exception handler catches it, then a modal error dialog is displayed instead of the application crashing to the desktop.","Given the error dialog is displayed, when I view its content, then it contains a non-technical error message, a unique Error ID, and the full path to the log file directory.","Given an error has occurred, when I check the log file, then an 'ERROR' level entry exists containing the full exception details and the same Error ID that was displayed in the dialog.",WI-032: Implement Global Exception Handler,"All ACs pass. The error dialog appears on unhandled exceptions. The error ID in the dialog correlates with the ID in the log file. The application closes gracefully from the dialog. Code is reviewed and merged."
US-006,Application Shell & Infrastructure,Uninstall the game cleanly from my computer,Windows PC Gamer,"As a Windows PC Gamer, I want a standard uninstallation process to completely remove all application files, so that I can reclaim disk space and ensure my system remains clean.",Must Have,2,US-001;US-007,"Given the game is installed, when I uninstall it via Windows 'Apps & features', then all application files, shortcuts, and registry entries are removed.","Given the uninstaller is running, when I am prompted to keep or remove my personal data and I choose to KEEP it, then the application is removed but the '%APPDATA%/MonopolyTycoon' directory remains.","Given the uninstaller is running while the game is open, when I attempt to proceed, then an error message is displayed stating the game must be closed first.",WI-034: Create Inno Setup Installer Script,"All ACs pass. Application files and shortcuts are completely removed. The uninstaller correctly handles the user's choice regarding personal data. Code is reviewed and merged."
US-007,Application Shell & Infrastructure,Choose to keep my personal data upon uninstallation,Player,"As a Player uninstalling the game, I want a clear choice to keep or delete my personal data (saves, profile), so that I can reinstall the game later without losing my progress.",Should Have,1,US-001;US-024;US-028,"Given I am running the uninstaller and have existing save files, when I am prompted to remove personal data, then the dialog text clearly states this includes save games and profiles, and the default option is 'No' (keep data).","Given I have run the uninstaller, when I choose 'No' at the data removal prompt, then the application files are removed, but the '%APPDATA%/MonopolyTycoon' directory and its contents remain untouched.","Given I have run the uninstaller, when I choose 'Yes' at the data removal prompt, then all application files AND the '%APPDATA%/MonopolyTycoon' directory are deleted.",WI-034: Create Inno Setup Installer Script,"All ACs pass. The uninstaller presents a clear choice with a safe default. The user's choice is correctly executed. The prompt does not appear if no user data exists. Code is reviewed and merged."
US-008,Presentation Layer (UI/UX & 3D),Start a new game from the main menu,Player,"As a Player, I want to select a 'New Game' option from the main menu, so that I can proceed to the game setup screen and configure a new match.",Must Have,1,"","Given I am on the main menu screen, when I click the 'New Game' button, then the application transitions to the Game Setup screen.","Given I am on the main menu, when I use the keyboard to navigate to and activate the 'New Game' button, then the application transitions to the Game Setup screen.","Given I am on the main menu, when I click the 'New Game' button multiple times in quick succession, then the application transitions to the Game Setup screen only once, without errors.",WI-018: Implement Game Setup Screen,"All ACs pass. The transition to the Game Setup screen is smooth. The button is keyboard accessible and provides visual feedback on hover/click. Code is reviewed and merged."
US-009,Presentation Layer (UI/UX & 3D),Configure a game with one to three AI opponents,Player,"As a Player setting up a new game, I want to select the number of AI opponents (one, two, or three), so that I can customize the game's challenge and duration.",Must Have,1,US-008,"Given I am on the game setup screen, when I select '3' as the number of AI opponents, then the UI dynamically updates to show configuration sections for three distinct AI opponents.","Given I am on the game setup screen, when I start the game after selecting '2' AI opponents, then a new game session is created with one human and two AI players.","Given I am on the game setup screen, when the screen first loads, then a default number of opponents (e.g., 2) is pre-selected.",WI-018: Implement Game Setup Screen,"All ACs pass. The game correctly starts with 1, 2, or 3 AI opponents based on selection. The UI dynamically adapts to the selection. A sensible default is provided. Code is reviewed and merged."
US-010,Presentation Layer (UI/UX & 3D),Set a unique difficulty for each AI opponent,Player,"As a Player setting up a new game, I want to independently assign a difficulty level (Easy, Medium, or Hard) to each AI opponent, so that I can create a custom-tailored challenge.",Must Have,3,US-009,"Given I have selected 3 AI opponents on the game setup screen, when I set their difficulties to 'Easy', 'Hard', and 'Medium' respectively, then the UI clearly displays these unique selections.","Given I am on the game setup screen, when a new AI opponent slot is added, then its difficulty selector defaults to 'Medium'.","Given I have configured a game with 'Easy' and 'Hard' AI opponents, when the game starts, then the AI agents are initialized with the correct difficulty parameters, as verifiable in the logs.",WI-018: Implement Game Setup Screen; WI-015: Develop AI Configuration System,"All ACs pass. Each AI's difficulty can be set independently. The settings are correctly passed to the game state upon starting a new game. Code is reviewed and merged."
