task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
T-001,"Develop Inno Setup script for basic installation",DevOps,Scripting,Medium,6.0,Mid,1,"",Yes,"Requires specific expertise in Inno Setup (.iss) scripting. This is a foundational task for product distribution.","Use an alternative installer technology like WiX or NSIS if Inno Setup expertise is unavailable."
T-002,"Implement custom directory and shortcut options in installer",DevOps,Scripting,Low,3.2,Mid,1,"T-001",Yes,"Extends the initial Inno Setup script. Relatively simple task for someone familiar with the tool.","Combine with the initial installer script task if the same resource is available, reducing context switching."
T-003,"Perform E2E installation testing",Quality Assurance,Systems Administration,Medium,4.0,Mid,1,"T-002",Yes,"Requires setting up and managing clean Windows 10 and Windows 11 virtual machines.","Automate parts of the installation and verification process using a scripting language like PowerShell to reduce manual testing time in the long run."
T-004,"Implement uninstaller logic with user data prompt",DevOps,Scripting,Medium,4.3,Mid,1,"T-001",Yes,"Requires Pascal Scripting knowledge within Inno Setup. Logic must be robust to prevent accidental data deletion.","Simplify the feature to always keep user data, removing the prompt and scripting complexity, if the deadline is tight."
T-005,"Perform E2E uninstallation testing",Quality Assurance,Systems Administration,Medium,3.8,Mid,1,"T-004",Yes,"Requires testing multiple user flows (keep data, remove data, game running) on clean VMs.","Create a test matrix and scripted setup/teardown for VMs to ensure consistent and repeatable testing."
T-006,"Integrate and configure Serilog framework",Backend Development,DevOps,Medium,6.2,Mid,1,"T-036",Yes,"Foundational task for logging and error handling. Requires knowledge of .NET dependency injection and file system paths in Unity.","Use Unity's built-in logging system, but this would not meet the structured JSON logging requirement (REQ-1-019)."
T-007,"Implement global exception handling hook",Backend Development,Architecture,High,6.3,Senior,1,"",Yes,"Critical for application stability. Requires deep knowledge of .NET AppDomain and Unity's execution lifecycle.","Rely on Unity's default crash reporting, but this would not provide the custom user-facing dialog and correlated error ID."
T-008,"Develop robust error dialog UI",Frontend Development,Design,Medium,5.3,Mid,1,"",No,"UI must be simple and have minimal dependencies to ensure it can be displayed even if the main game UI has failed.","Use a native OS message box instead of a custom Unity UI to reduce complexity and increase reliability, at the cost of visual branding."
T-009,"Integrate error handler, logger, and UI",Backend Development,Frontend Development,Medium,4.3,Mid,2,"T-006,T-007,T-008",Yes,"Integration task requiring coordination between backend (handler, logger) and frontend (UI dialog) developers.","A single full-stack developer could handle this, but it requires expertise in both areas."
T-010,"Implement Localization-Ready Text System",Backend Development,Architecture,High,12.0,Senior,1,"",Yes,"Architectural cornerstone. All future UI work depends on this system. Requires careful design to be performant and easy to use.","Postpone implementation and accept technical debt of hardcoded strings, but this would violate REQ-1-084 and make future localization extremely expensive."
T-011,"Externalize Rulebook Content from JSON",Backend Development,Data Engineering,Low,4.2,Mid,1,"",No,"Simple data loading task. Requires defining a clear JSON schema for the rulebook content.","Hardcode the rules in the UI, but this violates REQ-1-083 and makes updates difficult."
T-012,"Implement asynchronous version check service",Backend Development,DevOps,Medium,6.0,Mid,1,"",No,"Requires knowledge of .NET HttpClient and asynchronous programming. The external version file endpoint must be set up by DevOps.","Skip this feature and rely on users to manually check for updates on a website. This reduces user engagement with new versions."
T-013,"Develop non-intrusive update notification UI",Frontend Development,Design,Low,3.2,Mid,1,"T-012",No,"Standard UI task. Requires a simple, non-modal banner or button prefab.","Use a simple modal dialog on startup, but this is more intrusive and violates the requirement."
T-014,"Create Privacy Policy UI screen",Frontend Development,Design,Low,3.2,Junior,1,"",No,"Very simple UI screen with a scrollable text area. A good task for a junior developer.","Link to an external webpage with the policy, but this would violate the offline-only requirement (REQ-1-008)."
T-015,"Implement Turn Management State Machine",Backend Development,Architecture,High,10.5,Senior,1,"T-035",Yes,"Core of the gameplay loop. All game events are orchestrated by this state machine. Requires a very robust design.","Use a simpler, less formal event-driven approach without a state machine, but this increases the risk of race conditions and state management bugs."
T-016,"Write NUnit tests for TurnManager",Quality Assurance,Backend Development,Medium,4.2,Mid,1,"T-015",Yes,"Critical for ensuring the core game loop is stable. Requires a QA engineer with C# and NUnit experience.","Rely solely on manual E2E testing, but this is inefficient for catching regressions in core logic."
T-017,"Implement DiceService with secure RNG",Backend Development,Data Engineering,Medium,3.0,Mid,1,"",Yes,"Logic must use cryptographically secure RNG as per REQ-1-042, which is a critical fairness requirement.","Use a standard, less secure RNG for development, but this would violate a core requirement for release."
T-018,"Write NUnit tests for DiceService",Quality Assurance,Backend Development,Low,2.0,Junior,1,"T-017",Yes,"Straightforward unit testing to ensure dice rolls are within the correct range [1,6].","Skip unit tests and rely on integration testing, but this makes it harder to isolate RNG bugs."
T-019,"Integrate DiceService with Turn Manager",Backend Development,Architecture,Medium,4.0,Mid,1,"T-017,T-015",Yes,"Connects the dice roll action to the game state machine. Must correctly handle the three-doubles-to-jail rule.","Tightly couple the dice rolling logic inside the TurnManager, but this violates separation of concerns and makes testing harder."
T-020,"Implement Net Worth Calculation Service",Backend Development,Product Management,Medium,3.2,Mid,1,"T-035",No,"Logic must be precise according to official Monopoly rules (REQ-1-048). Critical for game balance.","Hardcode net worth calculations where needed, but this would lead to code duplication and be difficult to maintain."
T-021,"Implement Tax Collection Logic",Backend Development,Frontend Development,High,5.2,Mid,1,"T-020,T-034",No,"Requires integration with UI for player choice on Income Tax. Must correctly trigger bankruptcy flow.","Simplify Income Tax to be a fixed amount, removing the strategic choice and UI complexity, but violating official rules."
T-022,"Write NUnit tests for Tax Systems",Quality Assurance,Backend Development,Medium,3.0,Mid,1,"T-020",No,"Crucial for ensuring economic calculations are correct. Must test edge cases like mortgaged properties in net worth.","Perform manual testing of tax scenarios, but this is slow and less reliable for catching regressions."
T-023,"Implement Property Purchase and Auction Trigger Logic",Backend Development,Product Management,High,7.2,Senior,1,"T-015",Yes,"Core economic loop. Involves player decisions and triggers the complex auction system.","Remove the auction rule for declined properties. This simplifies the logic immensely but is a major deviation from official rules and reduces strategic depth."
T-024,"Implement Mortgage Service",Backend Development,Product Management,Medium,5.3,Mid,1,"T-036",No,"Key player financial tool. Must correctly validate against developed properties.","Disallow mortgaging entirely. This simplifies the economy but removes a critical strategic option for players."
T-025,"Write NUnit tests for MortgageService",Quality Assurance,Backend Development,Low,2.0,Mid,1,"T-024",No,"Verify calculation of mortgage value and unmortgage cost (with 10% interest).","Manual testing of mortgage functionality, which is viable for a simple service but less robust."
T-026,"Implement Jail Logic Service",Backend Development,Product Management,High,8.3,Senior,1,"T-019",No,"Complex state management with multiple entry and exit conditions. Must correctly handle the 'no extra turn on doubles' rule exception.","Simplify jail rules, for example by removing the 'roll for doubles' option, but this would impact game authenticity."
T-027,"Implement third-turn forced payment logic",Backend Development,Product Management,Medium,4.3,Mid,1,"T-026,T-034",No,"An important edge case of the jail rules that prevents games from stalling.","Remove the forced payment rule, allowing players to stay in jail indefinitely by rolling. This would be a game-breaking design flaw."
T-028,"Write NUnit tests for JailService",Quality Assurance,Backend Development,High,5.2,Senior,1,"T-027",No,"Requires comprehensive tests covering all edge cases of entering and exiting jail to ensure game stability.","Focus on E2E manual testing for jail scenarios, which may miss subtle logic bugs in state transitions."
T-029,"Implement Card Deck data model and service",Backend Development,Data Engineering,Medium,4.2,Mid,1,"T-036",No,"Manages the state of the card decks, including shuffling and correct handling of the 'Get Out of Jail Free' card.","Hardcode the card deck order for testing, but use a shuffled list for release. This makes testing predictable but requires two logic paths."
T-030,"Implement Card Action Execution Engine",Backend Development,Architecture,High,6.2,Senior,1,"T-029",No,"Requires a flexible architecture (e.g., Command Pattern) to handle the 32+ unique card actions without becoming unmaintainable.","Use a large switch statement to handle all card actions. This is faster to implement initially but creates significant technical debt."
T-031,"Implement Auction System Logic",Backend Development,Architecture,High,10.5,Senior,1,"T-023,T-043",No,"Complex sub-system with its own turn-based loop. Must correctly handle bidding, withdrawals, and awarding the property.","Drastically simplify the auction to a single round of bidding. This reduces complexity but removes the strategic bidding process."
T-032,"Implement Property Development Service",Backend Development,Product Management,High,12.3,Senior,1,"T-036",Yes,"Very high complexity due to the combination of rules: monopoly ownership, even-build, and finite bank supply. Core to the game's strategy.","Relax the 'even-build' rule. This would make the logic much simpler but would be a major violation of the official rules and game balance."
T-033,"Implement Bankruptcy Service",Backend Development,Product Management,High,12.3,Senior,1,"T-031,T-032,T-024",Yes,"Defines the game's end condition. Must atomically liquidate all assets and transfer them correctly to either the bank or another player.","Handle bankruptcy by simply removing the player from the game and returning assets to an 'unowned' state. This is simpler but incorrect for player-to-player bankruptcy."
T-034,"Develop non-intrusive notification UI prefab",Frontend Development,Design,Low,3.2,Mid,1,"",No,"A reusable UI component for providing feedback to the user without interrupting gameplay.","Use modal dialogs for all notifications. This is simpler to implement but provides a very poor user experience."
T-035,"Create placeholder task for Game Manager",Backend Development,Architecture,High,8.0,Lead,1,"",Yes,"This task represents creating the central GameManager and state objects, which is a critical architectural foundation.","Avoid a central manager and use distributed state. This is highly discouraged as it would make state tracking and saving nearly impossible."
