Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Initialize Unity Project and Git Repository","Create a new Unity project targeting the Windows Standalone platform. Initialize a Git repository in the project folder. Create and commit a standard Unity .gitignore file to exclude library files, temp files, and build artifacts from version control. Establish the main branch and a development branch.","Configuration","Backlog","Critical","devops@project.com","pm@project.com","",2.2,"git,project-setup,core-infra","Sprint 1","Project Infrastructure & Tooling","Monopoly Tycoon",,"","EPIC-INFRA-SETUP",,"2024-01-01 09:00","2024-01-01 09:00","Git,Unity"
"Configure Serilog for Structured Logging","Integrate the Serilog library into the .NET project within Unity. Configure it to meet all logging requirements: structured JSON format, output to `%APPDATA%/MonopolyTycoon/logs`, INFO/DEBUG/ERROR levels, and the rolling file policy (7 days/50MB). Create a `LoggingService` wrapper.","Development","Backlog","Critical","backend@project.com","pm@project.com","",6.3,"logging,serilog,core-infra","Sprint 1","Project Infrastructure & Tooling","Monopoly Tycoon",,"","EPIC-INFRA-SETUP","TASK-INFRA-017","2024-01-01 09:00","2024-01-01 09:00","C#,Serilog,Unity"
"Setup NUnit Test Framework in Unity","Configure the Unity Test Framework to run NUnit tests. Create the necessary Assembly Definitions for test code (`.Tests`) and configure them to have access to the production code assemblies. Write a simple 'Hello World' unit test to verify the setup.","Configuration","Backlog","Critical","devops@project.com","pm@project.com","",3.2,"testing,nunit,core-infra","Sprint 1","Project Infrastructure & Tooling","Monopoly Tycoon",,"","EPIC-INFRA-SETUP","TASK-INFRA-017","2024-01-01 09:00","2024-01-01 09:00","Unity Test Framework,NUnit"
"Implement `PlayerState` Data Model and Enums","Create the `PlayerState.cs` class. Define all properties as specified in REQ-1-031, including primitive types (cash, position), lists (properties_owned), and custom enums for `PlayerStatus` (e.g., Active, InJail, Bankrupt) and `AIDifficulty` (Easy, Medium, Hard).","Development","Backlog","Critical","backend@project.com","pm@project.com","",6,"data-model,domain-logic","Sprint 1","Core Gameplay Engine & Rules","Monopoly Tycoon",,"","EPIC-CORE-DATAMODEL",,"2024-01-01 09:00","2024-01-01 09:00","C#,Data Modeling"
"Define Static Property Data using ScriptableObjects","Create a `PropertyData.cs` class inheriting from `ScriptableObject`. Define fields for all static property attributes: name, price, rent table (base, 1-4 houses, hotel), mortgage value, house cost, color group, etc. Create one ScriptableObject asset for each of the 28 purchasable properties.","Development","Backlog","Critical","backend@project.com","pm@project.com","",9,"data-model,scriptable-object","Sprint 1","Core Gameplay Engine & Rules","Monopoly Tycoon",,"","EPIC-CORE-DATAMODEL",,"2024-01-01 09:00","2024-01-01 09:00","Unity (ScriptableObjects),C#"
"Implement `BoardState` for Dynamic Data","Create the `BoardState.cs` class to track the dynamic state of all properties. This will likely be a dictionary or array mapping a property ID to an object containing its current owner's ID and its development level (number of houses/hotel).","Development","Backlog","Critical","backend@project.com","pm@project.com","",5,"data-model,domain-logic","Sprint 1","Core Gameplay Engine & Rules","Monopoly Tycoon",,"","EPIC-CORE-DATAMODEL","TASK-CORE-002","2024-01-01 09:00","2024-01-01 09:00","C#,Data Modeling"
"Implement Aggregate `GameState` Root Object","Create the `GameState.cs` class which will be the aggregate root for the entire game model. It will contain a list of `PlayerState` objects, the `BoardState` object, the state of the Bank (houses/hotels available), the order of the Chance and Community Chest decks, and current turn metadata (turn number, active player index).","Development","Backlog","Critical","backend@project.com","pm@project.com","",6,"data-model,architecture,save-load","Sprint 1","Core Gameplay Engine & Rules","Monopoly Tycoon",,"","EPIC-CORE-DATAMODEL","TASK-CORE-001,TASK-CORE-003","2024-01-01 09:00","2024-01-01 09:00","C#,Game Architecture"
"Unit Test Data Model Serialization","Write a suite of NUnit tests specifically to validate the JSON serialization and deserialization of the core data models (`PlayerState`, `BoardState`, `GameState`). This ensures the foundation for the save/load system is solid.","Testing","Backlog","Critical","qa@project.com","pm@project.com","",6.2,"testing,unit-test,save-load","Sprint 1","Core Gameplay Engine & Rules","Monopoly Tycoon",,"","EPIC-CORE-DATAMODEL","TASK-CORE-004","2024-01-01 09:00","2024-01-01 09:00","NUnit,C#,System.Text.Json"
"Design and Implement Turn Manager State Machine","Create the `TurnManager.cs` service. Design and implement a robust finite state machine (FSM) to manage the distinct phases of a player's turn as specified in REQ-1-038. This includes states for Pre-Turn (handling jail status), Pre-Roll Management, Roll, Movement, Action, and Post-Roll.","Development","Backlog","Critical","backend@project.com","pm@project.com","",12.7,"architecture,state-machine,game-logic","Sprint 1","Core Gameplay Engine & Rules","Monopoly Tycoon",,"","EPIC-CORE-TURN-MGR","TASK-CORE-001","2024-01-01 09:00","2024-01-01 09:00","C#,Game Architecture,State Machines"
"Unit Test Turn Manager Logic","Write a comprehensive suite of unit tests for the `TurnManager`. Focus on testing the turn cycling logic (2, 3, and 4 players), skipping bankrupt players, and the basic state transitions.","Testing","Backlog","Critical","qa@project.com","pm@project.com","",2.2,"testing,unit-test","Sprint 1","Core Gameplay Engine & Rules","Monopoly Tycoon",,"","EPIC-CORE-TURN-MGR","TASK-CORE-012","2024-01-01 09:00","2024-01-01 09:00","NUnit,C#"
